,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
5553,ricardo clark,CLB,M,13,8,642,1,1,12,3,1,0/0,1,0,0.14,8.3,0,1,0,0.14,5,3,0,1,0,25.0,2018,reg,1,125000.04,125000.04
5555,oniel fisher,DC,D,24,20,1832,1,1,14,1,1,0/0,1,0,0.05,7.1,0,1,0,0.05,16,25,1,3,0,7.14,2018,reg,0,68906.25,68906.25
5557,elliot collier,CHI,F,16,9,904,1,1,15,5,0,0/0,0,1,0.1,6.7,1,1,0,0.1,9,7,0,1,0,33.33,2018,reg,0,54500.04,54500.04
5558,rodney wallace,NYC,D,18,9,818,1,1,20,4,0,0/0,0,1,0.11,5.0,0,1,0,0.11,16,7,8,2,0,20.0,2018,reg,1,300000.08,300000.08
5559,anthony blondell,VAN,F,18,8,641,1,1,20,7,0,0/0,1,0,0.14,5.0,0,1,0,0.14,13,9,7,1,0,35.0,2018,reg,0,249999.96,295203.21
5560,kyle beckerman,RSL,M,31,29,2621,1,1,23,5,1,0/0,1,0,0.03,4.3,1,0,1,0.03,50,25,1,8,0,21.74,2018,reg,1,505008,530008
5561,will johnson,ORL,D,28,26,2194,1,1,33,13,0,0/0,1,0,0.04,3.0,0,1,0,0.04,28,34,2,7,0,39.39,2018,reg,0,434004,470004
5562,clint dempsey,SEA,M-F,14,9,902,1,1,39,12,0,0/0,1,0,0.1,2.6,0,1,0,0.1,8,19,3,1,1,30.77,2018,reg,1,1100000.04,1650000.04
5563,ben mines,RBNY,M,1,1,90,1,0,1,1,1,0/0,1,0,1.0,100.0,0,0,0,0.0,1,2,0,1,0,100.0,2018,reg,1,54504,60518
5564,alex crognale,CLB,D,5,0,97,1,0,1,1,0,0/0,1,0,0.93,100.0,0,0,0,0.0,0,0,0,0,0,100.0,2018,reg,1,95004,95004
5566,nick besler,RSL,M,22,15,1431,1,0,2,1,0,0/0,1,0,0.06,50.0,0,0,0,0.0,13,15,0,1,0,50.0,2018,reg,1,67500,67500
5567,chris tierney,NE,D-M,6,3,308,1,0,2,2,1,0/0,1,0,0.29,50.0,0,0,0,0.0,3,1,0,1,0,100.0,2018,reg,0,157500,165833.33
5568,george bello,ATL,D,3,2,177,1,0,2,1,0,0/0,1,0,0.51,50.0,0,0,0,0.0,0,2,3,0,0,50.0,2018,reg,1,67500,71500
5569,kevin garcia,HOU,D,15,11,1103,1,0,3,1,0,0/0,1,0,0.08,33.3,0,0,0,0.0,5,4,0,0,0,33.33,2018,reg,0,68915.07,68915.07
5570,jordy delem,SEA,M,16,10,856,1,0,3,1,0,0/0,1,0,0.11,33.3,0,0,0,0.0,14,15,0,5,0,33.33,2018,reg,1,67500,67500
5571,chris schuler,ORL,D,9,8,785,1,0,4,1,0,0/0,1,0,0.11,25.0,0,0,0,0.0,3,3,0,3,0,25.0,2018,reg,0,75000,81250
5572,lamine sane,ORL,D,16,15,1373,1,0,4,2,1,0/0,1,0,0.07,25.0,0,0,0,0.0,10,4,0,1,0,50.0,2018,reg,0,807500.04,855000.04
5574,michael ciani,LA,D,21,19,1647,1,0,5,1,0,0/0,0,1,0.05,20.0,0,0,0,0.0,28,10,1,5,0,20.0,2018,reg,0,600000,620000
5576,tony tchani,CHI,M,13,9,825,1,0,5,2,0,0/0,0,1,0.11,20.0,0,0,0,0.0,12,9,0,1,0,40.0,2018,reg,0,320000,353333.33
5577,anthony fontana,PHI,M,5,1,98,1,0,5,1,1,0/0,1,0,0.92,20.0,0,0,0,0.0,4,2,0,0,0,20.0,2018,reg,0,65004,73421.6
5578,jose aja,MIN,D,17,17,1512,1,0,5,1,0,0/0,1,0,0.06,20.0,0,0,0,0.0,21,3,5,4,1,20.0,2018,reg,0,240000,240000
5579,cole bassett,COL,M,6,3,307,1,0,5,1,0,0/0,1,0,0.29,20.0,0,0,0,0.0,3,3,0,0,0,20.0,2018,reg,0,60000,69000
5581,brian white,RBNY,F,5,2,217,1,0,5,1,1,0/0,1,0,0.41,20.0,0,0,0,0.0,2,0,1,0,0,20.0,2018,reg,1,54500.04,54500.04
5582,amro tarek,RBNY,D,20,19,1697,1,0,6,4,0,0/0,1,0,0.05,16.7,0,0,0,0.0,11,9,0,3,0,66.67,2018,reg,0,80000.04,88333.37
5583,rod fanni,MTL,D,26,26,2290,1,0,6,2,1,0/0,1,0,0.04,16.7,0,0,0,0.0,14,17,1,0,0,33.33,2018,reg,0,1200000,1225000
5584,ebenezer ofori,NYC,M,27,21,1895,1,0,7,2,0,0/0,1,0,0.05,14.3,0,0,0,0.0,36,8,0,3,1,28.57,2018,reg,1,324999.96,381249.96
5585,ronaldo pena,HOU,F,9,2,222,1,0,7,5,0,0/0,1,0,0.41,14.3,0,0,0,0.0,14,4,2,2,1,71.43,2018,reg,0,225000,225000
5586,joao moutinho,ORL,D,14,10,872,1,0,7,1,1,0/0,0,1,0.1,14.3,0,0,0,0.0,11,6,0,2,1,14.29,2018,reg,0,129999.96,169999.96
5587,romario williams,ATL,F,17,0,211,1,0,8,3,0,0/0,1,0,0.43,12.5,0,0,0,0.0,6,10,1,4,0,37.5,2018,reg,1,71500,71500
5588,darwin ceren,HOU,M,24,20,1858,1,0,8,2,0,0/0,1,0,0.05,12.5,0,0,0,0.0,42,20,0,9,1,25.0,2018,reg,0,225000,274375
5589,lawrence olum,POR,D,22,18,1632,1,0,8,2,0,0/0,0,1,0.06,12.5,0,0,0,0.0,16,4,0,2,1,25.0,2018,reg,1,185004,200004
5590,brian wright,NE,F,10,2,258,1,0,9,3,1,0/0,0,1,0.35,11.1,0,0,0,0.0,6,4,1,0,0,33.33,2018,reg,0,67500,67500
5592,lalas abubakar,COL,D,23,20,1771,1,0,9,3,1,0/0,0,1,0.05,11.1,0,0,0,0.0,29,7,0,3,0,33.33,2018,reg,1,68250.04,75750.04
5593,chris mccann,ATL,M-D,22,21,1800,1,0,10,4,0,0/0,1,0,0.05,10.0,0,0,0,0.0,22,19,3,6,0,40.0,2018,reg,1,560000,588000
5594,bacary sagna,MTL,D,9,9,810,1,0,10,4,0,0/0,1,0,0.11,10.0,0,0,0,0.0,5,6,1,3,0,40.0,2018,reg,0,480000,525000
5595,maxime chanot,NYC,D,18,18,1571,1,0,11,3,0,0/0,1,0,0.06,9.1,0,0,0,0.0,15,10,0,2,1,27.27,2018,reg,1,375000,408000
5596,bill tuiloma,POR,D-M,13,7,713,1,0,11,4,0,0/0,0,1,0.13,9.1,0,0,0,0.0,4,4,0,0,0,36.36,2018,reg,1,67500,75000
5597,memo rodriguez,HOU,M,19,6,645,1,0,12,2,1,0/0,1,0,0.14,8.3,0,0,0,0.0,8,13,0,1,0,16.67,2018,reg,0,55654.2,55654.2
5598,franco escobar,ATL,D,22,20,1789,1,0,14,3,0,0/0,1,0,0.05,7.1,0,0,0,0.0,32,15,2,7,0,21.43,2018,reg,1,250008,250008
5599,maynor figueroa,HOU,D,16,11,1008,1,0,14,6,1,0/0,1,0,0.09,7.1,0,0,0,0.0,9,3,0,2,0,42.86,2018,reg,0,240000,250000
5600,jonathan mensah,CLB,D,27,26,2347,1,0,19,6,0,0/0,0,1,0.04,5.3,0,0,0,0.0,20,10,1,7,0,31.58,2018,reg,1,774996,868996
5601,valentin castellanos,NYC,F,8,5,446,1,0,20,6,0,0/0,1,0,0.2,5.0,0,0,0,0.0,10,11,4,2,0,30.0,2018,reg,1,150000,181008.07
5602,alexander callens,NYC,D,31,31,2750,1,0,21,2,0,0/0,1,0,0.03,4.8,0,0,0,0.0,37,30,2,6,0,9.52,2018,reg,1,500000.04,564000.04
5603,dairon asprilla,POR,M-F,17,7,688,1,0,23,9,0,1/1,1,0,0.13,4.3,0,0,0,0.0,16,11,8,3,0,39.13,2018,reg,1,180000,193750
5604,dillon serna,COL,M,20,10,1181,1,0,24,7,0,0/0,0,1,0.08,4.2,0,0,0,0.0,10,19,5,3,0,29.17,2018,reg,0,95000.04,95000.04
5605,david accam,NSH,F,23,13,1213,1,0,37,14,1,0/0,0,1,0.07,2.7,0,0,0,0.0,20,22,14,3,0,37.84,2018,reg,0,1250000.04,1250000.04
5606,sean davis,RBNY,M,32,30,2579,0,8,8,3,0,0/0,0,0,0.0,0.0,2,7,1,0.28,25,27,0,1,0,37.5,2018,reg,1,225000,261666.67
5607,tyler adams,NY,M,27,26,2328,0,7,13,1,0,0/0,0,0,0.0,0.0,1,4,3,0.27,45,47,0,3,0,7.69,2018,reg,1,100000,146041.67
5608,brooks lennon,ATL,D,33,32,2850,0,5,7,3,0,0/0,0,0,0.0,0.0,0,4,1,0.16,25,14,1,7,0,42.86,2018,reg,1,225000,237583.33
5609,kelvin leerdam,SEA,D,26,24,1967,0,5,11,2,0,0/0,0,0,0.0,0.0,1,2,3,0.23,19,6,0,4,1,18.18,2018,reg,1,500000.04,575000.04
5610,michael bradley,TOR,M,32,32,2857,0,5,13,3,0,0/0,0,0,0.0,0.0,1,3,2,0.16,26,9,0,6,0,23.08,2018,reg,0,6000000,6500000
5611,gregory van der wiel,TOR,D,27,25,2295,0,4,4,1,0,0/0,0,0,0.0,0.0,0,2,2,0.16,12,12,0,1,1,25.0,2018,reg,0,800000.04,835000.04
5612,johan kappelhof,CHI,D,29,29,2604,0,4,5,2,0,0/0,0,0,0.0,0.0,1,3,1,0.14,39,12,0,9,1,40.0,2018,reg,0,555000,595000
5613,yangel herrera,NYC,M,15,13,1111,0,4,21,7,0,0/0,0,0,0.0,0.0,1,1,3,0.32,37,39,0,4,0,33.33,2018,reg,1,200000.04,200000.04
5614,matt besler,SKC,D,31,31,2745,0,3,1,0,0,0/0,0,0,0.0,0.0,0,2,1,0.1,18,11,0,2,0,0.0,2018,reg,1,750000,783250
5615,tony rocha,NYC,M,12,9,819,0,3,7,2,0,0/0,0,0,0.0,0.0,0,1,2,0.33,12,20,1,1,0,28.57,2018,reg,0,68901.84,68901.84
5616,marcel de jong,VAN,D-M,19,17,1392,0,3,10,3,0,0/0,0,0,0.0,0.0,1,3,0,0.19,15,11,0,3,0,30.0,2018,reg,0,150000,164500
5617,dax mccarty,NSH,M,26,26,2259,0,3,10,2,0,0/0,0,0,0.0,0.0,1,3,0,0.12,31,34,0,5,0,20.0,2018,reg,0,700000.08,712500.08
5618,nicolas hasler,CHI,D,24,19,1725,0,3,11,4,0,0/0,0,0,0.0,0.0,1,1,2,0.16,13,10,3,0,0,36.36,2018,reg,0,132000,147666.67
5619,samuel piette,MTL,M,34,34,3000,0,3,11,2,0,0/0,0,0,0.0,0.0,1,2,1,0.09,41,35,0,5,0,18.18,2018,reg,0,120000,129234.37
5620,auro,TOR,D,18,16,1424,0,3,12,2,0,0/0,0,0,0.0,0.0,1,1,2,0.19,16,24,0,3,0,16.67,2018,reg,0,200004,272504
5621,osvaldo alonso,MIN,M,25,21,1833,0,3,13,2,0,0/0,0,0,0.0,0.0,1,3,0,0.15,35,33,1,6,0,15.38,2018,reg,1,1100000.04,1141667.04
5622,jackson yueill,SJ,M,21,15,1293,0,3,15,2,0,0/0,0,0,0.0,0.0,0,2,1,0.21,7,14,0,0,0,13.33,2018,reg,0,135000,196000
5623,aaron kovar,LFC,M,11,7,523,0,3,16,5,0,0/0,0,0,0.0,0.0,1,2,1,0.52,8,8,2,0,0,31.25,2018,reg,0,69457.5,69657.5
5624,johan blomberg,COL,M,24,21,1657,0,3,17,2,0,0/0,0,0,0.0,0.0,0,2,1,0.16,33,13,2,5,0,11.76,2018,reg,0,239808,239808
5625,darlington nagbe,CLB,M,23,23,1970,0,3,18,2,0,0/0,0,0,0.0,0.0,1,1,2,0.14,15,23,0,0,0,11.11,2018,reg,1,605000,620000
5626,enzo martinez,COL,M,22,15,1406,0,3,22,7,0,0/0,0,0,0.0,0.0,0,3,0,0.19,28,31,1,4,0,31.82,2018,reg,0,67500,67500
5627,michael parkhurst,ATL,D,33,32,2903,0,2,0,0,0,0/0,0,0,0.0,0.0,1,2,0,0.06,16,13,0,6,0,,2018,reg,1,340008,340008
5628,ethan kutler,NY,D,4,1,101,0,2,1,0,0,0/0,0,0,0.0,0.0,1,2,0,1.78,1,0,0,0,0,0.0,2018,reg,1,54500.04,54500.04
5629,saad abdulsalaam,CIN,D,4,3,273,0,2,1,0,0,0/0,0,0,0.0,0.0,0,1,1,0.66,5,3,0,1,0,0.0,2018,reg,1,106480,120230
5630,rj allen,ORL,D,18,10,966,0,2,3,0,0,0/0,0,0,0.0,0.0,1,1,1,0.19,19,2,0,2,0,0.0,2018,reg,0,90000,90000
5631,jorgen skjelvik,LA,D,32,29,2585,0,2,4,1,0,0/0,0,0,0.0,0.0,0,1,1,0.07,46,14,1,6,0,25.0,2018,reg,0,900000,1000000
5632,efrain juarez,VAN,M,16,14,1159,0,2,4,1,0,0/0,0,0,0.0,0.0,1,2,0,0.16,24,8,0,4,2,25.0,2018,reg,0,525000,619833.33
5633,joseph mora,DC,D,30,28,2523,0,2,4,0,0,0/0,0,0,0.0,0.0,1,1,1,0.07,17,26,2,3,1,0.0,2018,reg,0,90000,104250
5634,danilo acosta,LA,D,12,10,896,0,2,4,2,0,0/0,0,0,0.0,0.0,1,0,2,0.2,17,13,0,0,0,50.0,2018,reg,1,100000,100000
5635,marlon hairston,MIN,M,15,13,1107,0,2,5,1,0,0/0,0,0,0.0,0.0,1,1,1,0.16,6,11,1,1,0,20.0,2018,reg,0,144996,144996
5636,shea salinas,SJ,M,25,20,1820,0,2,5,1,0,0/0,0,0,0.0,0.0,0,1,1,0.1,22,12,0,3,1,20.0,2018,reg,0,200000,200000
5637,servando carrasco,LA,M,19,10,1001,0,2,6,3,0,0/0,0,0,0.0,0.0,0,2,0,0.18,15,6,0,3,0,50.0,2018,reg,0,67500,67500
5638,mikey ambrose,MIA,D,9,8,731,0,2,6,0,0,0/0,0,0,0.0,0.0,1,2,0,0.25,4,5,1,1,0,0.0,2018,reg,1,68906.25,68906.25
5639,junior moreno,DC,M,20,17,1528,0,2,7,2,0,0/0,0,0,0.0,0.0,0,1,1,0.12,21,14,0,1,0,28.57,2018,reg,0,120000,139500
5640,vincent bezecourt,NY,M,9,5,395,0,2,7,2,0,0/0,0,0,0.0,0.0,0,2,0,0.46,6,10,0,1,0,28.57,2018,reg,1,67500,69921.4
5641,raymon gaddis,PHI,D,28,25,2298,0,2,11,5,0,0/0,0,0,0.0,0.0,2,1,1,0.08,12,26,0,1,0,45.45,2018,reg,0,180000,182500
5642,gabriel somi,NE,D,14,12,1043,0,2,11,2,0,0/0,0,0,0.0,0.0,0,1,1,0.17,7,5,1,3,0,18.18,2018,reg,0,390999.96,424999.96
5643,perry kitchen,LA,M,31,27,2339,0,2,13,2,0,0/0,0,0,0.0,0.0,0,2,0,0.08,48,17,0,7,0,15.38,2018,reg,0,450000,474166.67
5644,seth sinovic,NE,D,23,19,1650,0,2,13,2,0,0/0,0,0,0.0,0.0,0,1,1,0.11,18,13,1,4,1,15.38,2018,reg,1,150000,157666.67
5645,cristian martinez,CLB,M,14,11,841,0,2,14,5,0,0/0,0,0,0.0,0.0,0,2,0,0.21,13,13,9,1,0,35.71,2018,reg,1,68915.07,73415.07
5646,anibal godoy,NSH,M-D,27,27,2348,0,2,15,3,0,0/0,0,0,0.0,0.0,1,0,2,0.08,61,71,2,8,0,20.0,2018,reg,0,425000.04,473125.04
5649,ian harkes,DC,M,8,4,352,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.26,4,1,0,0,0,,2018,reg,0,104500,137737.5
5650,connor maloney,CLB,D,1,0,28,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,3.21,1,0,0,1,0,,2018,reg,1,55654.2,55654.2
5651,drew conner,CHI,M,11,5,462,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.19,8,1,0,2,1,,2018,reg,0,68907.3,68907.3
5652,ayo akinola,TOR,F,4,0,45,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,2.0,2,2,1,0,0,,2018,reg,0,54504,140504
5653,luke mulholland,RSL,M,2,1,91,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,0.99,0,3,0,0,0,,2018,reg,1,173250,173250
5654,carter manley,MIN,D,8,4,502,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.18,3,2,0,0,0,,2018,reg,0,54500.04,54500.04
5655,chris duvall,POR,D,15,14,1195,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.08,19,11,0,4,0,0.0,2018,reg,0,150000,150000
5656,matt polster,NE,D,3,1,126,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,0.71,2,1,0,0,0,0.0,2018,reg,0,109890,124890
5657,kyle duncan,RBNY,D,4,4,360,0,1,1,0,0,0/0,0,0,0.0,0.0,1,1,0,0.25,4,3,0,0,0,0.0,2018,reg,1,54500.04,54500.04
5658,waylon francis,CLB,D,11,5,582,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.15,9,4,0,1,0,0.0,2018,reg,1,165000,196041.67
5659,donny toia,RSL,D,4,3,238,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.38,6,2,0,0,0,0.0,2018,reg,0,125004,125004
5661,jorge villafana,POR,F,8,7,655,0,1,1,1,0,0/0,0,0,0.0,0.0,0,0,1,0.14,4,8,1,0,0,100.0,2018,reg,1,600000,617500
5662,baggio husidic,LA,M,7,1,206,0,1,1,0,0,0/0,0,0,0.0,0.0,1,1,0,0.44,3,1,0,1,0,0.0,2018,reg,0,174999.96,174999.96
5663,nedum onuoha,RSL,D,2,1,92,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,0.98,1,0,0,0,0,0.0,2018,reg,1,150000,219000
5664,jerome thiesson,MIN,D,14,13,1106,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,0.08,16,3,1,0,0,0.0,2018,reg,0,180000,219166.67
5665,aaron maund,VAN,D,10,10,900,0,1,2,0,0,0/0,0,0,0.0,0.0,1,0,1,0.1,6,3,0,0,0,0.0,2018,reg,0,180000,189437.5
5666,ashtone morgan,RSL,D,18,11,1009,0,1,2,1,0,0/0,0,0,0.0,0.0,1,1,0,0.09,17,8,1,3,0,50.0,2018,reg,0,120000,121500
5667,bruno miranda,DC,F,7,0,86,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,1.05,2,3,0,1,0,0.0,2018,reg,0,67500,71976.09
5668,jonathan campbell,CHI,D,15,11,1005,0,1,2,1,0,0/0,0,0,0.0,0.0,0,0,1,0.09,2,2,1,1,0,50.0,2018,reg,0,120175,128300
5669,jared watts,COL,D-M,7,7,535,0,1,2,0,0,0/0,0,0,0.0,0.0,0,1,0,0.17,2,2,0,1,0,0.0,2018,reg,0,92500,92500
5670,eric miller,NSH,D,18,13,1145,0,1,2,0,0,0/0,0,0,0.0,0.0,0,1,0,0.08,8,6,2,3,0,0.0,2018,reg,0,84997.97,105997.97
5672,warren creavalle,PHI,M,17,6,681,0,1,3,1,0,0/0,0,0,0.0,0.0,0,0,1,0.13,10,11,1,2,0,33.33,2018,reg,0,140000,153000
5673,brad smith,SEA,D,6,6,446,0,1,3,0,0,0/0,0,0,0.0,0.0,0,1,0,0.2,7,4,1,1,0,0.0,2018,reg,1,529092,564364.67
5675,hector jimenez,CLB,M,11,7,655,0,1,4,3,0,0/0,0,0,0.0,0.0,0,1,0,0.14,6,3,0,1,0,75.0,2018,reg,1,159996,159996
5676,jonathan spector,ORL,D,13,13,1060,0,1,4,1,0,0/0,0,0,0.0,0.0,0,1,0,0.08,9,9,0,2,0,25.0,2018,reg,0,575004,636941.5
5677,collin martin,MIN,M,12,5,518,0,1,4,3,0,0/0,0,0,0.0,0.0,1,1,0,0.17,12,6,0,2,0,75.0,2018,reg,0,95004,95004
5679,andrew carleton,ATL,M,7,2,161,0,1,5,3,0,0/0,0,0,0.0,0.0,0,1,0,0.56,4,1,0,0,0,60.0,2018,reg,1,75000,87400
5680,jaylin lindsey,SKC,D,7,6,555,0,1,5,1,0,0/0,0,0,0.0,0.0,0,0,1,0.16,5,2,0,0,0,20.0,2018,reg,1,54504,67504
5681,luis felipe,SJ,M,13,11,974,0,1,6,1,0,0/0,0,0,0.0,0.0,0,1,0,0.09,16,8,0,4,0,16.67,2018,reg,0,67500,68500
5682,adam lundkvist,HOU,D,16,12,1200,0,1,6,1,0,0/0,0,0,0.0,0.0,0,0,1,0.08,18,15,0,4,0,16.67,2018,reg,0,405000,433750
5684,connor lade,NY,D,21,15,1315,0,1,6,0,0,0/0,0,0,0.0,0.0,0,1,0,0.07,25,19,0,3,0,0.0,2018,reg,1,114000,120749.85
5685,jordan harvey,LAFC,D,29,23,2140,0,1,7,0,0,0/0,0,0,0.0,0.0,0,1,0,0.04,26,16,2,2,1,0.0,2018,reg,0,150000,150000
5687,chris durkin,DC,M,23,16,1503,0,1,7,1,0,0/0,0,0,0.0,0.0,0,0,1,0.06,20,15,0,4,0,14.29,2018,reg,0,80000,89166.67
5688,eric remedi,ATL,M,13,12,1093,0,1,8,1,0,0/0,0,0,0.0,0.0,0,0,1,0.08,17,23,1,3,0,12.5,2018,reg,1,300000,300000
5690,arturo alvarez,HOU,M,18,2,341,0,1,8,3,0,0/0,0,0,0.0,0.0,0,0,1,0.26,5,5,2,1,0,37.5,2018,reg,0,150000,157500
5691,frederic brillant,DC,D,27,24,2181,0,1,9,1,0,0/0,0,0,0.0,0.0,0,1,0,0.04,24,9,3,1,0,11.11,2018,reg,0,264999.96,299999.96
5692,alex roldan,SEA,M,19,7,732,0,1,10,2,0,0/0,0,0,0.0,0.0,0,0,1,0.12,18,8,2,2,0,20.0,2018,reg,1,54500.04,54500.04
5693,mason toye,MIN,F,17,2,340,0,1,11,5,0,0/0,0,0,0.0,0.0,1,0,1,0.26,10,4,4,3,1,45.45,2018,reg,0,124999.92,177999.92
5694,nick deleon,TOR,M,15,12,1062,0,1,11,4,0,0/0,0,0,0.0,0.0,0,0,1,0.08,11,11,1,2,0,36.36,2018,reg,0,275000,275000
5695,jalil anibaba,NSH,D,31,29,2706,0,1,11,3,0,0/0,0,0,0.0,0.0,0,1,0,0.03,30,10,1,3,0,27.27,2018,reg,0,90000,90000
5696,zarek valentin,HOU,D,32,30,2721,0,1,12,0,0,0/0,0,0,0.0,0.0,1,1,0,0.03,20,13,1,4,0,0.0,2018,reg,1,130000,130000
5697,luis solignac,CHI,F,11,8,702,0,1,12,2,0,0/0,0,0,0.0,0.0,0,1,0,0.13,6,8,10,0,0,16.67,2018,reg,0,300000,353312.5
5698,nouhou tolo,SEA,D,28,23,2037,0,1,15,3,0,0/0,0,0,0.0,0.0,0,1,0,0.04,22,28,4,8,0,20.0,2018,reg,1,54500,54500
5699,ben sweat,MIA,D,28,24,2197,0,1,16,4,0,0/0,0,0,0.0,0.0,0,0,1,0.04,17,6,5,3,0,25.0,2018,reg,1,67500,67500
5700,julio cascante,POR,D,21,18,1729,0,1,16,6,0,0/0,0,0,0.0,0.0,0,0,1,0.05,21,9,2,1,0,37.5,2018,reg,1,150000,150000
5701,oriol rosell,ORL,M-D,22,18,1701,0,1,17,6,0,0/0,0,0,0.0,0.0,0,0,1,0.05,29,7,0,6,0,35.29,2018,reg,0,412500,412500
5704,joao pedro,LA,M,3,1,85,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,1,0,,2018,reg,0,219996,240996
5705,dylan remick,HOU,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,105000,106666.67
5706,dane kelly,DC,F,1,0,3,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,67500,69500
5707,fatai alashe,CIN,M,12,2,353,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,6,0,1,0,,2018,reg,0,107992.5,124242.5
5708,michael salazar,HOU,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,67500,67500
5709,caleb calvert,COL,F,1,0,35,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,1,0,0,,2018,reg,0,105000,105000
5710,cedric hountondji,NYC,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,1,220000.08,258333.41
5711,mike da fonte,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,67500,67500
5712,jalen robinson,DC,D,5,5,348,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,1,0,0,,2018,reg,0,75000,75000
5713,kyle fisher,MTL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,55654.2,55654.2
5714,christian dean,CHI,D,2,2,178,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,,2018,reg,0,90000,93125
5716,joel qwiberg,SJ,D,5,5,379,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,3,0,0,0,,2018,reg,0,129999.96,167999.96
5718,tommy redding,NY,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2018,reg,1,125000,147500
5720,louis belandgoyette,MTL,M,4,0,109,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,1,0,,2018,reg,0,54500,55750
5721,foster langsdorf,POR,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,1,54500.04,54500.04
5724,jordan morris,SEA,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,1,222000,234500
5725,taylor peay,RSL,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,1,67500,67500
5727,anibal chala,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,300000,383000
5728,cristhian machado,NE,M,3,2,119,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,,2018,reg,0,132000,150512.5
5729,pierre da silva,ORL,M,2,0,49,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,,2018,reg,0,54504,54504
5730,josh perez,LFC,F,2,0,22,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2018,reg,0,54499.92,54499.92
5731,hugo arellano,LA,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,75000,82573.75
5732,george malki,HOU,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,68254.2,68254.2
5733,richie marquez,PHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,145000,151430
5734,myer bevan,VAN,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,54500.04,54500.04
5735,jordan cano,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2018,reg,0,54500.04,54500.04
