,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
752,Zac MacMath,RSL,GK,8,8,720,52,37,13,1.63,1/1,1,3,4,0,12.5,71.2,2019,reg,0,189999.96,189999.96
753,Alex Bono,TOR,GK,7,6,555,28,16,11,1.83,3/3,4,1,2,1,57.1,57.1,2019,reg,1,350000.04,382000.04
754,Cody Cropper,HOU,GK,7,7,630,49,29,17,2.43,2/2,2,4,1,1,28.6,59.2,2019,reg,1,77519.52,77519.52
755,Tyler Deric,HOU,GK,7,7,630,36,19,15,2.14,0/0,2,5,0,0,28.6,52.8,2019,reg,0,159999.96,167499.96
756,Matt Freese,PHI,GK,6,5,437,23,13,7,1.4,2/2,1,1,2,0,16.7,56.5,2019,reg,1,70000.08,77650.08
757,Joe Bendik,PHI,GK,6,6,540,27,14,12,2.0,1/1,0,5,1,0,0.0,51.9,2019,reg,1,144000.0,144000.0
758,Pablo Sisniega,LAFC,GK,6,6,540,26,17,9,1.5,0/1,3,2,1,0,50.0,65.4,2019,reg,1,105000.0,105000.0
759,Andrew Putna,RSL,GK,5,5,450,19,12,6,1.2,0/1,2,2,1,2,40.0,63.2,2019,reg,1,70875.0,70875.0
760,Brad Stuver,NYC,GK,5,5,450,14,10,6,1.2,0/0,4,1,0,1,80.0,71.4,2019,reg,1,99999.96,99999.96
763,Jimmy Maurer,DAL,GK,2,2,180,12,8,4,2.0,0/1,0,1,1,0,0.0,66.7,2019,reg,1,125000.04,127500.04
764,Clement Diop,MTL,GK,2,2,180,7,6,1,0.5,0/0,1,0,1,1,50.0,85.7,2019,reg,0,94500.0,98190.0
766,Adrian Zendejas,NSH,GK,1,1,90,4,3,1,1.0,1/1,0,0,1,0,0.0,75.0,2019,reg,0,70250.04,70250.04
767,Eric Dick,SKC,GK,1,1,90,9,3,6,6.0,0/0,0,1,0,0,0.0,33.3,2019,reg,0,70250.04,73699.58
768,Matt Lampson,CLB,GK,1,1,90,7,3,4,4.0,0/0,0,1,0,0,0.0,42.9,2019,reg,1,70250.04,70250.04
769,Ryan Meara,RBNY,GK,1,1,90,5,4,1,1.0,0/0,1,0,0,0,100.0,80.0,2019,reg,1,132000.0,137000.0
770,Chris Seitz,DC,GK,1,1,90,3,2,1,1.0,1/1,1,0,0,0,100.0,66.7,2019,reg,1,165000.0,165000.0
771,Bobby Shuttleworth,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,174999.96,191874.96
772,Caleb Patterson-Sewell,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,70875.0,70875.0
773,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,70875.0,70875.0
775,Aljaz Ivacic,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,150000.0,160000.0
776,Sean Melvin,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,70250.04,70250.04
777,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,150000.0,152500.0
778,Alex Horwath,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,95000.04,100862.54
779,Ben Lundgaard,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,57225.0,57225.0
780,Michael Nelson,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,57225.0,57225.0
781,Jason Beaulieu,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,70250.04,70250.04
783,Gabriel Slonina,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,60000.0,74800.0
784,Jimmy Hague,CIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,56250.0,56250.0
785,Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,70250.04,70250.04
786,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,70875.0,70875.0
787,Andrew Tarbell,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,200000.04,235000.04
788,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,72360.84,72360.84
789,Trey Muse,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,56250.0,65000.0
790,James Pantemis,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,70250.04,70250.04
791,Luis Barraza,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,56250.0,56250.0
792,Evan Louro,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,70250.04,70250.04
793,Dayne St. Clair,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,70250.04,74753.17
794,Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,57225.0,57225.0
795,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,70875.0,70875.0
796,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,100008.0,100008.0
797,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,70250.04,70250.04
798,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,71666.88,71666.88
799,Brendan Moore,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,70250.04,70250.04
800,Jeff Caldwell,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,57225.0,57225.0
801,Adam Grinwis,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,70875.0,70875.0
802,Thomas Hasal,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,0,56250.0,66250.0
803,David Ochoa,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,1,70250.04,70250.04
804,Brad Guzan,ATL,GK,23,23,2070,91,59,30,1.3,0/0,6,13,4,6,26.1,64.8,2020,reg,0,730008.0,790008
805,Sean Johnson,NYC,GK,23,23,2070,107,81,25,1.09,3/4,12,8,3,7,52.2,75.7,2020,reg,1,465000,465000
806,Joe Willis,NSH,GK,23,23,2070,92,69,22,0.96,0/0,8,7,8,9,34.8,75.0,2020,reg,1,180000,187833
807,Marko Maric,HOU,GK,23,23,2070,122,79,40,1.74,3/3,4,10,9,3,17.4,64.8,2020,reg,0,450000,498250
808,Matt Turner,NE,GK,22,22,1980,90,68,24,1.09,1/1,8,7,7,6,36.4,75.6,2020,reg,1,200000,200000
809,Stefan Frei,SEA,GK,22,22,1980,83,60,23,1.05,2/2,11,5,6,6,50.0,72.3,2020,reg,1,500000,512500
810,Andre Blake,PHI,GK,21,21,1889,81,63,18,0.86,1/2,13,3,5,8,61.9,77.8,2020,reg,1,550008,600008
811,Tim Melia,SKC,GK,20,20,1784,77,56,21,1.05,0/2,11,5,3,7,55.0,72.7,2020,reg,1,350000,354167
812,Quentin Westberg,TOR,GK,20,20,1800,75,48,26,1.3,2/2,11,5,4,6,55.0,64.0,2020,reg,1,240000,253333
813,Clement Diop,MTL,GK,20,20,1800,110,73,36,1.8,2/3,7,11,2,3,35.0,66.4,2020,reg,1,120000,148500
814,Steve Clark,POR,GK,20,20,1800,94,64,29,1.45,1/2,10,4,6,5,50.0,68.1,2020,reg,1,250000,250000
815,Pedro Gallese,ORL,GK,19,19,1710,71,52,20,1.05,1/2,11,3,5,3,57.9,73.2,2020,reg,1,380000,380000
816,David Bingham,LA,GK,18,18,1620,87,52,35,1.94,3/5,5,9,4,3,27.8,59.8,2020,reg,0,450000,450000
817,Eloy Room,CLB,GK,17,17,1511,57,41,15,0.88,4/4,9,3,5,7,52.9,71.9,2020,reg,1,350004,404698
818,Bobby Shuttleworth,CHI,GK,17,17,1530,81,53,28,1.65,1/2,4,6,7,4,23.5,65.4,2020,reg,0,105000,115750
819,Bill Hamid,DC,GK,17,17,1530,88,55,32,1.88,2/3,3,10,4,2,17.6,62.5,2020,reg,0,500000.0,500000
820,Jimmy Maurer,DAL,GK,16,16,1392,68,54,13,0.81,2/2,6,4,5,7,37.5,79.4,2020,reg,1,137500,140000
821,Luis Robles,MIA,GK,15,15,1350,58,34,25,1.67,2/4,3,10,2,2,20.0,58.6,2020,reg,1,375000,395000
822,Andrew Putna,RSL,GK,15,15,1350,62,38,26,1.73,1/1,4,7,4,4,26.7,61.3,2020,reg,0,81375,81375
823,William Yarbrough,COL,GK,14,14,1260,69,48,20,1.43,2/2,6,4,4,4,42.9,69.6,2020,reg,1,120000,120000
824,Pablo Sisniega,LAFC,GK,14,14,1260,58,35,23,1.64,4/4,7,5,2,2,50.0,60.3,2020,reg,1,105000,105000
825,Ryan Meara,RBNY,GK,13,13,1142,55,39,16,1.23,3/3,5,4,4,3,38.5,70.9,2020,reg,1,237000,237000
826,Dayne St. Clair,MIN,GK,13,13,1170,63,48,12,0.92,0/2,6,2,5,6,46.2,76.2,2020,reg,1,81375,85895
827,Przemyslaw Tyton,CIN,GK,12,12,1071,48,30,18,1.5,1/1,2,7,3,5,16.7,62.5,2020,reg,0,272950,369638
828,Daniel Vega,SJ,GK,12,12,1080,79,42,37,3.08,3/4,2,6,4,3,16.7,53.2,2020,reg,1,248000,253000
829,David Jensen,RBNY,GK,11,10,928,41,25,15,1.5,0/0,4,5,1,1,36.4,61.0,2020,reg,1,324996,364631
830,JT Marcinkowski,SJ,GK,11,11,990,39,25,14,1.27,0/0,6,3,2,4,54.5,64.1,2020,reg,1,150000,162000
831,Spencer Richey,CIN,GK,10,9,819,34,19,15,1.67,1/1,1,7,1,2,10.0,55.9,2020,reg,0,81375,81375
832,Thomas Hasal,VAN,GK,9,8,752,50,35,14,1.75,1/1,4,4,0,1,44.4,70.0,2020,reg,0,63547.0,63547
833,John McCarthy,MIA,GK,8,8,720,31,19,10,1.25,2/2,4,3,1,1,50.0,61.3,2020,reg,1,105000,111583
834,Kenneth Vermeer,LAFC,GK,8,8,720,36,19,16,2.0,0/1,2,3,3,1,25.0,52.8,2020,reg,1,500000,506000
835,Evan Bush,VAN,GK,8,8,720,32,22,10,1.25,1/1,4,4,0,1,50.0,68.8,2020,reg,0,349000,411667
836,Andrew Tarbell,CLB,GK,7,6,559,24,17,6,1.0,2/2,3,3,0,2,42.9,70.8,2020,reg,1,190000,225000
837,Zac MacMath,RSL,GK,6,6,540,21,14,7,1.17,0/0,1,2,3,3,16.7,66.7,2020,reg,0,200000,200000
838,Chris Seitz,DC,GK,6,6,540,32,22,9,1.5,0/0,2,2,2,2,33.3,68.8,2020,reg,0,150000,150000
839,Kenneth Kronholm,CHI,GK,5,5,450,17,7,8,1.6,0/0,1,3,1,0,20.0,41.2,2020,reg,0,433200,496200
840,Tyler Miller,MIN,GK,5,5,450,19,13,6,1.2,2/2,3,0,2,1,60.0,68.4,2020,reg,1,375000,395938
841,Kyle Zobeck,DAL,GK,4,3,318,18,11,6,2.0,1/1,2,1,1,0,50.0,61.1,2020,reg,1,81375,81375
842,Maxime Crepeau,VAN,GK,4,4,328,22,12,10,2.5,1/1,1,3,0,1,25.0,54.5,2020,reg,0,225000,252500
844,Clint Irwin,COL,GK,4,4,360,22,14,8,2.0,0/1,2,2,0,0,50.0,63.6,2020,reg,1,168000,180707
845,Jonathan Klinsmann,LA,GK,4,4,360,30,17,11,2.75,1/1,1,3,0,1,25.0,56.7,2020,reg,0,81375,81375
846,Bryan Meredith,VAN,GK,3,3,270,27,20,10,3.33,0/0,0,3,0,0,0.0,74.1,2020,reg,0,81375,81375
847,Alex Bono,TOR,GK,3,3,270,16,16,0,0.0,0/1,2,0,1,3,66.7,100.0,2020,reg,1,400000,432000
849,James Pantemis,MTL,GK,3,3,270,24,17,7,2.33,0/0,1,2,0,0,33.3,70.8,2020,reg,1,81375,81375
850,Joe Bendik,PHI,GK,2,1,91,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3,2020,reg,1,200000,200000
851,Richard Sanchez,SKC,GK,2,1,104,5,2,4,4.0,0/0,1,1,0,0,50.0,40.0,2020,reg,1,175000,177500
853,Aljaz Ivacic,POR,GK,2,2,180,8,5,3,1.5,0/0,1,1,0,0,50.0,62.5,2020,reg,1,165000,175000
854,Bobby Edwards,CIN,GK,2,2,180,6,3,3,1.5,1/1,1,1,0,0,50.0,50.0,2020,reg,0,81375,81375
855,Matt Freese,PHI,GK,1,1,90,1,1,0,0.0,0/0,1,0,0,1,100.0,100.0,2020,reg,1,75000,82650
856,David Ochoa,RSL,GK,1,1,90,6,4,2,2.0,0/0,0,1,0,0,0.0,66.7,2020,reg,0,73763,73763
857,Phelipe Megiolaro,DAL,GK,1,1,90,9,6,3,3.0,0/0,0,1,0,0,0.0,66.7,2020,reg,1,100000,119000
858,Connor Sparrow,CHI,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1,2020,reg,0,81375,81375
859,Brad Knighton,NE,GK,1,1,90,6,5,1,1.0,0/0,0,0,1,0,0.0,83.3,2020,reg,1,130000,136750
860,Jeff Attinella,POR,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1,2020,reg,1,175000,187250
861,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,81375
862,Cody Cropper,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,81375,87542
863,Ben Lundt,CIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,81375,84784
865,Matt Lampson,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,81375
867,Trey Muse,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,73763,82513
868,Luis Barraza,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,63547,63547
869,Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,81375,81375
870,Adrian Zendejas,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,81375
871,Eric Lopez,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,81375,81375
872,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,81375
873,Brady Scott,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,87611
874,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,87375
875,Kevin Silva,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,63547,63547
876,Brad Stuver,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,125000,125000
877,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,110000,110000
878,Brendan Moore,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,81375,81375
879,Jeff Caldwell,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,81375
880,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,81375
881,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,81375
882,John Pulskamp,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,63547,66047
883,Jonathan Sirois,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,63547,68230
884,Abraham Rodriguez,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,63547,63547
885,Michael Nelson,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,81375,81375
888,Beckham Sunderland,CIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,63547,67610
889,Isaac Boehmer,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,63547,63547
890,Gabriel Slonina,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,0,75000,79800
891,Fred Emmings,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,63547,69547
892,Emmanuel Ochoa,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,63547,73759
893,Drake Callender,MIA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,100000,100000
894,Elliot Panicco,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,63547,63547
895,Eric Dick,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,85020
896,Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,1,81375,81375
