,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Base Salary,Base Guaranteed Comp.
4654,tajon buchanan,NE,F,23,11,1084,2,2,30,12,0,0/0,1,1,0.17,6.7,0,2,0,0.17,20,37,7,1,0,40.0,2020,reg,100000,111000
4655,reto ziegler,DAL,D,19,17,1529,2,1,6,4,0,2/2,2,0,0.12,33.3,1,1,0,0.06,8,5,1,3,0,66.67,2020,reg,950000,1000000
4656,jeff larentowicz,ATL,M,19,11,1111,2,1,7,2,1,1/1,1,1,0.16,28.6,0,1,0,0.08,22,9,0,2,0,28.57,2020,reg,280000,280000
4658,leandro gonzalez pirez,MIA,D,16,16,1440,2,1,11,4,2,0/0,2,0,0.13,18.2,0,0,1,0.06,29,27,1,8,0,36.36,2020,reg,742500,902750
4659,omir fernandez,RBNY,M,15,5,569,2,1,12,3,0,0/0,1,1,0.32,16.7,1,0,1,0.16,7,11,1,0,0,25.0,2020,reg,90000,105000
4660,oswaldo alanis,SJ,D,14,14,1188,2,1,13,4,0,0/0,1,1,0.15,15.4,0,1,0,0.08,7,7,0,1,0,30.77,2020,reg,450000,550000
4661,marcelino moreno,ATL,M,6,5,465,2,1,14,7,0,2/2,1,1,0.39,14.3,0,0,1,0.19,4,10,0,0,0,50.0,2020,reg,342857,342857
4662,ricardo pepi,DAL,F,17,4,458,2,1,14,6,0,0/0,1,1,0.39,14.3,1,1,0,0.2,10,4,2,0,0,42.86,2020,reg,84000,102000
4663,yeimar gomez andrade,SEA,D,19,19,1626,2,1,16,5,1,0/0,1,1,0.11,12.5,0,0,1,0.06,20,13,0,5,0,31.25,2020,reg,275000,362000
4664,luis amarilla,MIN,F,7,5,425,2,1,16,5,2,0/1,0,2,0.42,12.5,0,0,1,0.21,5,9,2,2,0,31.25,2020,reg,525000,640500
4665,abu danladi,NSH,F,17,7,575,2,1,17,4,1,0/0,1,1,0.31,11.8,0,0,1,0.16,10,8,1,1,0,23.53,2020,reg,160000,217000
4666,eddie segura,LAFC,D,22,21,1886,2,1,17,5,1,0/0,2,0,0.1,11.8,0,0,1,0.05,17,7,0,3,0,29.41,2020,reg,215000,239000
4667,niko hansen,HOU,F,17,8,716,2,1,18,7,1,0/0,0,2,0.25,11.1,0,0,1,0.13,9,12,3,0,0,38.89,2020,reg,81375.0,88875
4668,gary mackaysteven,NYC,F,22,10,956,2,1,22,15,0,0/0,1,1,0.19,9.1,0,1,0,0.09,12,10,13,1,0,68.18,2020,reg,260000,274833
4669,kellyn acosta,COL,M,15,14,1150,2,1,27,11,1,0/0,0,2,0.16,7.4,0,1,0,0.08,14,12,0,5,0,40.74,2020,reg,850000,965000
4670,jozy altidore,TOR,F,13,10,746,2,1,28,14,1,0/0,1,1,0.24,7.1,0,1,0,0.12,12,12,5,3,0,50.0,2020,reg,2161250,3602250
4671,ike opara,MIN,D,2,2,180,2,0,2,2,0,0/0,0,2,1.0,100.0,0,0,0,0.0,6,2,0,0,0,100.0,2020,reg,550000,635333
4672,tosaint ricketts,VAN,F,16,5,456,2,0,5,2,2,0/0,1,1,0.39,40.0,0,0,0,0.0,8,6,3,0,0,40.0,2020,reg,150000,155000
4673,jake nerwinski,VAN,D,21,18,1700,2,0,5,4,1,0/0,2,0,0.11,40.0,0,0,0,0.0,14,12,0,0,0,80.0,2020,reg,158400,162525
4674,russell canouse,DC,M,15,15,1233,2,0,5,3,0,0/0,1,1,0.15,40.0,0,0,0,0.0,26,14,0,6,1,60.0,2020,reg,300000,300000
4675,griffin yow,DC,F,12,4,391,2,0,5,5,0,0/0,1,1,0.46,40.0,0,0,0,0.0,8,11,1,0,0,100.0,2020,reg,90000,96118
4676,caden clark,RBNY,M,7,3,280,2,0,5,2,1,0/0,0,2,0.64,40.0,0,0,0,0.0,9,5,0,0,0,40.0,2020,reg,63547,100747
4677,federico higuain,MIA,F,14,0,175,2,0,6,4,0,0/0,1,1,1.03,33.3,0,0,0,0.0,2,3,1,1,0,66.67,2020,reg,81375.0,81375
4678,frederic brillant,DC,D,19,18,1682,2,0,6,3,1,0/0,1,1,0.11,33.3,0,0,0,0.0,15,6,0,5,1,50.0,2020,reg,250000,265000
4679,aaron long,RBNY,D,16,15,1330,2,0,6,4,2,0/0,1,1,0.14,33.3,0,0,0,0.0,15,12,0,4,0,66.67,2020,reg,835000,865000
4680,cj sapong,CHI,F,11,4,472,2,0,8,3,0,1/1,2,0,0.38,25.0,0,0,0,0.0,10,13,1,1,0,37.5,2020,reg,700000,700000
4681,alexander callens,NYC,D,22,22,1934,2,0,9,3,0,0/0,1,1,0.09,22.2,0,0,0,0.0,28,15,0,6,0,33.33,2020,reg,650000,714000
4682,cory burke,PHI,F,5,0,110,2,0,9,5,1,0/0,2,0,1.64,22.2,0,0,0,0.0,5,0,0,0,0,55.56,2020,reg,83531,87314
4683,amar sejdic,MTL,M,14,7,684,2,0,12,5,0,0/0,1,1,0.26,16.7,0,0,0,0.0,10,4,0,1,0,41.67,2020,reg,63547,63547
4684,julian carranza,MIA,F,16,5,542,2,0,12,4,0,0/0,2,0,0.33,16.7,0,0,0,0.0,21,24,5,3,0,33.33,2020,reg,400000,400000
4685,jhonder cadiz,NSH,F,7,0,219,2,0,15,6,1,0/0,1,1,0.82,13.3,0,0,0,0.0,7,7,4,0,0,40.0,2020,reg,855000,918900
4686,gelmin rivas,DC,F,13,7,502,2,0,17,5,1,0/0,0,2,0.36,11.8,0,0,0,0.0,15,4,2,0,0,29.41,2020,reg,81375,96013
4687,maynor figueroa,HOU,D,20,19,1717,2,0,19,3,0,0/0,1,1,0.1,10.5,0,0,0,0.0,29,22,0,7,0,15.79,2020,reg,81375,81375
4688,ethan zubak,LA,F,15,11,787,2,0,19,7,1,0/0,1,1,0.23,10.5,0,0,0,0.0,14,6,11,2,0,36.84,2020,reg,90000,93125
4690,javier hernandez,LA,F,12,7,758,2,0,21,7,0,0/1,2,0,0.24,9.5,0,0,0,0.0,2,14,7,0,0,33.33,2020,reg,6000000.0,6000000
4691,emanuel reynoso,MIN,M,13,9,826,1,7,22,7,0,0/0,1,0,0.11,4.5,1,7,0,0.76,23,32,0,1,0,31.82,2020,reg,650000,866910
4692,diego chara,POR,M,20,20,1799,1,6,3,1,0,0/0,1,0,0.05,33.3,1,2,4,0.3,48,38,1,8,0,33.33,2020,reg,650000,668750
4693,maikel chang,RSL,M,19,12,1107,1,6,14,4,1,0/0,0,1,0.08,7.1,1,2,4,0.49,6,11,1,1,0,28.57,2020,reg,81375,81375
4694,jan gregus,MIN,M,18,18,1599,1,6,35,8,0,0/0,0,1,0.06,2.9,0,0,6,0.34,17,13,0,1,1,22.86,2020,reg,750000,883500
4695,jorge villafana,POR,F,19,17,1550,1,5,3,1,0,0/0,0,1,0.06,33.3,3,2,3,0.29,11,17,2,2,0,33.33,2020,reg,600000,617500
4696,michael barrios,DAL,M,21,19,1681,1,5,35,10,0,0/0,1,0,0.05,2.9,3,4,1,0.27,25,26,1,5,0,28.57,2020,reg,560000,560000
4697,david milinkovic,VAN,M,16,11,902,1,4,8,3,0,0/0,0,1,0.1,12.5,1,4,0,0.4,16,13,1,0,0,37.5,2020,reg,180000,200000
4698,tommy thompson,SJ,D,20,13,1125,1,4,10,4,0,0/0,0,1,0.08,10.0,0,2,2,0.32,5,22,2,2,0,40.0,2020,reg,225000,225000
4699,francisco ginella,LAFC,M,22,14,1159,1,4,10,5,1,0/0,1,0,0.08,10.0,1,4,0,0.31,12,10,0,3,0,50.0,2020,reg,360000,482250
4700,dax mccarty,NSH,M,21,19,1678,1,4,11,4,1,0/0,1,0,0.05,9.1,1,3,1,0.21,25,21,0,5,0,36.36,2020,reg,700000,700000
4702,darwin ceren,HOU,M,20,18,1535,1,4,14,6,0,1/1,1,0,0.06,7.1,0,2,2,0.23,24,22,1,3,0,42.86,2020,reg,170000,220000
4703,latif blessing,LAFC,F,21,18,1720,1,4,15,6,0,0/0,0,1,0.05,6.7,0,4,0,0.21,37,48,4,4,0,40.0,2020,reg,275000,291667
4704,matias pellegrini,MIA,M,19,12,965,1,4,16,5,0,0/0,0,1,0.09,6.3,0,1,3,0.37,22,28,1,2,0,31.25,2020,reg,675000,770833
4705,sam vines,COL,D,18,18,1620,1,3,3,1,0,0/0,0,1,0.06,33.3,1,2,1,0.17,7,9,0,0,0,33.33,2020,reg,105000,106250
4706,michael baldisimo,VAN,M,13,7,703,1,3,4,3,0,0/0,1,0,0.13,25.0,1,2,1,0.38,10,5,0,5,0,75.0,2020,reg,81375,83138
4707,julian araujo,LA,D,17,17,1298,1,3,8,3,0,0/0,1,0,0.07,12.5,2,1,2,0.21,37,9,0,6,2,37.5,2020,reg,90000,96250
4708,jonathan osorio,TOR,M,17,17,1408,1,3,18,6,0,0/0,0,1,0.06,5.6,2,3,0,0.19,4,29,2,1,0,33.33,2020,reg,800000,826250
4709,jose cifuentes,LAFC,M,18,13,1150,1,3,34,10,0,0/0,1,0,0.08,2.9,1,1,2,0.23,23,16,0,4,0,29.41,2020,reg,367875,411750
4710,gianluca busio,SKC,M-F,19,15,1275,1,3,36,6,0,0/0,0,1,0.07,2.8,1,1,2,0.21,22,18,3,5,0,16.67,2020,reg,99996,102496
4711,kai wagner,PHI,D,14,14,1186,1,2,5,1,0,0/0,1,0,0.08,20.0,1,2,0,0.15,15,11,0,0,0,20.0,2020,reg,348000,390150
4712,matthew real,PHI,D,15,5,622,1,2,7,2,0,0/0,0,1,0.14,14.3,1,0,2,0.29,13,1,0,2,0,28.57,2020,reg,81375,81375
4713,daniel lovitz,NSH,D,21,21,1890,1,2,8,1,0,0/0,0,1,0.05,12.5,1,2,0,0.1,27,13,0,6,0,12.5,2020,reg,365000,395556
4714,andy polo,POR,M,16,7,750,1,2,9,2,0,0/0,1,0,0.12,11.1,1,1,1,0.24,5,8,1,0,0,22.22,2020,reg,150000,150000
4715,orji okwonkwo,MTL,M,13,5,488,1,2,10,7,0,0/0,0,1,0.18,10.0,1,0,2,0.37,14,9,8,0,0,70.0,2020,reg,200000,220000
4716,harrison afful,CLB,D,21,20,1795,1,2,11,3,0,0/0,0,1,0.05,9.1,0,1,1,0.1,30,14,3,5,0,27.27,2020,reg,310000,340000
4717,yordy reyna,DC,M-F,13,7,632,1,2,12,3,1,0/0,0,1,0.14,8.3,0,0,2,0.28,8,17,2,1,0,25.0,2020,reg,680000,743140
4718,dave romney,NSH,D,23,23,2070,1,2,12,3,0,0/0,0,1,0.04,8.3,1,1,1,0.09,9,3,0,1,0,25.0,2020,reg,155000,171950
4720,keegan rosenberry,COL,D,17,16,1361,1,2,14,5,1,0/0,1,0,0.07,7.1,0,1,1,0.13,17,6,1,0,0,35.71,2020,reg,250000,263750
4722,andres ricaurte,DAL,M,14,13,1112,1,2,17,6,0,0/0,1,0,0.08,5.9,0,1,1,0.16,16,45,0,1,0,35.29,2020,reg,300000,337178
4723,efrain alvarez,LA,M,16,6,718,1,2,17,4,0,0/0,0,1,0.13,5.9,0,2,0,0.25,3,3,0,0,0,23.53,2020,reg,90000,94734
4724,nick deleon,TOR,M,21,9,924,1,2,21,4,0,0/0,1,0,0.1,4.8,2,0,2,0.19,12,11,5,2,0,19.05,2020,reg,225000,240742
4726,ignacio aliseda,CHI,M,20,16,1402,1,2,26,6,0,0/0,1,0,0.06,3.8,0,2,0,0.13,12,25,3,1,0,23.08,2020,reg,399996,621497
4727,eduard atuesta,LAFC,M,17,14,1326,1,2,32,4,0,1/1,0,1,0.07,3.1,0,2,0,0.14,22,22,0,3,0,12.5,2020,reg,600000,618000
4728,gonzalo higuain,MIA,F,9,9,802,1,2,35,12,1,0/1,0,1,0.11,2.9,0,1,1,0.22,6,9,8,0,1,34.29,2020,reg,1457148.0,2150898
4729,ben mines,RBNY,M,5,1,172,1,1,3,1,0,0/0,0,1,0.52,33.3,0,0,1,0.52,4,3,0,0,0,33.33,2020,reg,81375,87389
4730,jacori hayes,MIN,M,11,6,602,1,1,4,1,0,0/0,1,0,0.15,25.0,0,1,0,0.15,7,18,0,1,0,25.0,2020,reg,81375.0,88875
4731,jonathan bornstein,CHI,D,20,13,1141,1,1,4,3,0,0/0,0,1,0.08,25.0,1,1,0,0.08,12,16,0,2,0,75.0,2020,reg,276000,299200
4732,darlington nagbe,CLB,M,15,14,1199,1,1,5,3,0,0/0,1,0,0.08,20.0,0,1,0,0.08,16,26,0,1,0,60.0,2020,reg,1530000,1530000
4734,handwalla bwana,NSH,M,7,2,217,1,1,5,3,0,0/0,0,1,0.41,20.0,0,1,0,0.41,4,1,0,0,0,60.0,2020,reg,81375,81375
4735,larrys mabiala,POR,D,17,15,1311,1,1,6,2,0,0/0,0,1,0.07,16.7,1,1,0,0.07,17,9,0,3,0,33.33,2020,reg,799992,843325
4737,patrick mullins,TOR,F,16,4,416,1,1,8,4,1,0/0,0,1,0.22,12.5,0,1,0,0.22,8,3,4,1,0,50.0,2020,reg,178000,191333
4738,george bello,ATL,D,20,19,1648,1,1,8,2,0,0/0,0,1,0.05,12.5,0,1,0,0.05,12,23,1,2,0,25.0,2020,reg,90000,94000
4739,braian galvan,COL,M,9,2,244,1,1,8,2,0,0/0,0,1,0.37,12.5,0,0,1,0.37,3,9,0,0,0,25.0,2020,reg,120000,212375
4740,kekuta manneh,NE,F,8,3,246,1,1,9,5,0,0/0,0,1,0.37,11.1,0,0,1,0.37,3,4,1,1,0,55.56,2020,reg,475000,491667
4741,haris medunjanin,CIN,M,21,19,1729,1,1,9,2,1,0/0,0,1,0.05,11.1,1,1,0,0.05,14,2,0,2,0,22.22,2020,reg,545000,600750
4742,jake mulraney,ATL,F,18,8,707,1,1,9,5,0,0/0,0,1,0.13,11.1,0,0,1,0.13,11,23,1,3,1,55.56,2020,reg,225652,262829
4743,mason toye,MTL,F,14,8,596,1,1,10,4,0,0/0,1,0,0.15,10.0,1,0,1,0.15,10,5,4,1,0,40.0,2020,reg,145000,178000
4745,lee nguyen,NE,M,17,8,814,1,1,11,6,1,1/1,0,1,0.11,9.1,0,0,1,0.11,15,11,1,2,0,54.55,2020,reg,525000,530000
4747,eric remedi,ATL,M,18,12,1161,1,1,11,1,0,0/0,0,1,0.08,9.1,1,1,0,0.08,19,45,1,4,0,9.09,2020,reg,390000,390000
4748,bill tuiloma,POR,D-M,12,9,824,1,1,12,3,0,0/0,0,1,0.11,8.3,0,0,1,0.11,9,8,0,0,0,25.0,2020,reg,200000,214125
4749,will bruin,SEA,F,15,5,558,1,1,13,4,0,0/0,1,0,0.16,7.7,0,0,1,0.16,4,10,4,1,0,30.77,2020,reg,425000,433333
4750,cade cowell,SJ,F,17,4,466,1,1,14,7,0,0/0,0,1,0.19,7.1,0,0,1,0.19,15,6,1,0,0,50.0,2020,reg,63547,73547
4751,blaise matuidi,MIA,M,15,14,1273,1,1,15,2,0,0/0,0,1,0.07,6.7,0,1,0,0.07,32,22,2,3,0,13.33,2020,reg,1333332,1333332
4752,erick torres,ATL,F,13,4,492,1,1,15,6,0,0/0,0,1,0.18,6.7,0,1,0,0.18,10,17,0,1,0,40.0,2020,reg,218400,277683
4753,chase gasper,MIN,D,18,16,1491,1,1,17,6,1,0/0,1,0,0.06,5.9,0,0,1,0.06,17,18,0,6,0,35.29,2020,reg,63547,63547
4754,dominique badji,NSH,F,12,10,750,1,1,18,5,0,0/0,1,0,0.12,5.6,0,1,0,0.12,16,9,7,1,0,27.78,2020,reg,250000,256250
4755,nicolas mezquida,COL,F-M,17,2,463,1,1,18,7,0,0/0,1,0,0.19,5.6,0,0,1,0.19,5,7,0,1,0,38.89,2020,reg,350000,380000
4756,samuel piette,MTL,M,22,22,1943,1,1,19,6,1,0/0,0,1,0.05,5.3,0,0,1,0.05,35,24,0,3,1,31.58,2020,reg,400000,429312
4757,jesus ferreira,DAL,F,19,13,979,1,1,19,7,1,0/0,1,0,0.09,5.3,1,1,0,0.09,6,9,2,3,0,36.84,2020,reg,450000,450000
4758,hassani dotson,MIN,M-D,18,12,1211,1,1,19,7,0,0/0,0,1,0.07,5.3,0,1,0,0.07,22,17,0,2,0,36.84,2020,reg,63547,63547
4759,jackson yueill,SJ,M,21,21,1861,1,1,20,8,1,0/0,0,1,0.05,5.0,1,0,1,0.05,22,21,0,5,1,40.0,2020,reg,163125,215125
4760,graham zusi,SKC,M,15,14,1224,1,1,21,4,1,0/0,1,0,0.07,4.8,1,1,0,0.07,14,9,1,0,0,19.05,2020,reg,650000,713333
4761,pablo ruiz,RSL,M,18,15,1328,1,1,33,8,0,0/0,1,0,0.07,3.0,1,1,0,0.07,19,6,0,4,0,24.24,2020,reg,219996,240996
4762,paxton pomykal,DAL,M,5,1,150,1,0,1,1,0,0/0,1,0,0.6,100.0,0,0,0,0.0,1,5,0,1,0,100.0,2020,reg,500000,500000
4763,andreu fontas,SKC,D,3,3,270,1,0,1,1,0,0/0,1,0,0.33,100.0,0,0,0,0.0,0,2,0,0,0,100.0,2020,reg,700000,700000
4764,andres flores,POR,M,4,3,188,1,0,1,1,0,0/0,0,1,0.48,100.0,0,0,0,0.0,2,3,1,0,0,100.0,2020,reg,81375,81375
4765,mikey ambrose,MIA,D,6,3,302,1,0,1,1,0,0/0,1,0,0.3,100.0,0,0,0,0.0,3,2,0,0,0,100.0,2020,reg,81375,81375
4766,matheus aias,ORL,F,4,0,18,1,0,1,1,0,0/0,1,0,5.0,100.0,0,0,0,0.0,0,0,0,0,0,100.0,2020,reg,252000,267500
4768,kai koreniuk,LA,M,4,0,12,1,0,2,2,1,0/0,1,0,7.5,50.0,0,0,0,0.0,0,0,1,0,0,100.0,2020,reg,63547,63547
4769,tony rocha,NYC,M,11,0,51,1,0,3,1,0,0/0,1,0,1.76,33.3,0,0,0,0.0,4,2,0,0,0,33.33,2020,reg,81375,81375
4770,chris odoiatsem,DC,D,15,8,769,1,0,3,2,1,0/0,0,1,0.12,33.3,0,0,0,0.0,6,8,0,2,0,66.67,2020,reg,81375,81375
4771,giancarlo gonzalez,LA,D,10,9,754,1,0,3,2,0,0/0,1,0,0.12,33.3,0,0,0,0.0,11,1,0,1,1,66.67,2020,reg,750000,819583
4772,dejan jakovic,LAFC,D,16,12,1075,1,0,3,1,1,0/0,1,0,0.08,33.3,0,0,0,0.0,8,6,0,2,0,33.33,2020,reg,175000,175000
4773,krisztian nemeth,CLB,F,4,2,186,1,0,3,1,1,0/0,1,0,0.48,33.3,0,0,0,0.0,4,4,0,0,0,33.33,2020,reg,375000,405000
4774,winston reid,SKC,D,10,8,728,1,0,3,2,1,0/0,1,0,0.12,33.3,0,0,0,0.0,11,7,0,2,0,66.67,2020,reg,100000,104167
4775,christian torres,LAFC,F,8,2,212,1,0,3,1,0,0/0,0,1,0.42,33.3,0,0,0,0.0,3,0,2,1,0,33.33,2020,reg,63547,74647
4776,drew moor,COL,D,8,5,487,1,0,4,2,1,0/0,1,0,0.18,25.0,0,0,0,0.0,4,7,1,2,0,50.0,2020,reg,250000,259000
4777,lalas abubakar,COL,D,17,17,1515,1,0,4,1,0,0/0,1,0,0.06,25.0,0,0,0,0.0,21,4,1,5,0,25.0,2020,reg,145000,154937
4778,paul marie,SJ,D,12,4,353,1,0,4,2,0,0/0,1,0,0.25,25.0,0,0,0,0.0,4,3,0,1,0,50.0,2020,reg,81375,81375
4779,sam junqua,HOU,D,9,2,250,1,0,5,3,0,0/0,1,0,0.36,20.0,0,0,0,0.0,5,2,0,0,0,60.0,2020,reg,63547,63547
4780,julio cascante,POR,D,5,4,405,1,0,5,2,0,0/0,0,1,0.22,20.0,0,0,0,0.0,5,6,0,0,0,40.0,2020,reg,200004,200004
4781,justen glad,RSL,D,17,14,1279,1,0,6,3,0,0/0,1,0,0.07,16.7,0,0,0,0.0,33,7,2,5,0,50.0,2020,reg,450000,471700
4785,giuseppe rossi,RSL,F,7,1,172,1,0,6,3,0,0/0,0,1,0.52,16.7,0,0,0,0.0,2,2,1,0,0,50.0,2020,reg,300000,312500
4786,david accam,NSH,F,7,2,206,1,0,6,3,1,0/0,0,1,0.44,16.7,0,0,0,0.0,7,4,0,0,0,50.0,2020,reg,875000,1002916
4787,rudy camacho,MTL,D,14,14,1189,1,0,7,1,1,0/0,0,1,0.08,14.3,0,0,0,0.0,25,5,0,2,1,14.29,2020,reg,750000,799153
4788,fatai alashe,CLB,M,11,6,464,1,0,8,1,0,0/0,0,1,0.19,12.5,0,0,0,0.0,13,11,0,3,0,12.5,2020,reg,210000,210000
4789,jakob glesnes,PHI,D,19,17,1493,1,0,8,2,0,0/0,0,1,0.06,12.5,0,0,0,0.0,15,8,0,4,0,25.0,2020,reg,420000,443125
4790,allan cruz,CIN,M,14,8,751,1,0,8,2,0,0/0,0,1,0.12,12.5,0,0,0,0.0,13,15,1,2,0,25.0,2020,reg,900000,1014000
4792,joe corona,LA,M,16,12,986,1,0,10,6,1,0/0,0,1,0.09,10.0,0,0,0,0.0,21,10,0,2,1,60.0,2020,reg,600000,628500
4793,nick hagglund,CIN,D,11,8,744,1,0,10,3,1,0/0,1,0,0.12,10.0,0,0,0,0.0,13,4,0,2,0,30.0,2020,reg,151255.0,160880
4794,jack elliott,PHI,D,17,10,981,1,0,10,6,0,0/0,1,0,0.09,10.0,0,0,0,0.0,18,7,0,2,0,60.0,2020,reg,300000,315000
4795,jose aja,MIN,D,13,12,1071,1,0,11,3,0,0/0,1,0,0.08,9.1,0,0,0,0.0,23,3,1,6,0,27.27,2020,reg,81375,94708
4796,tsubasa endoh,TOR,M,17,7,615,1,0,11,4,0,0/0,0,1,0.15,9.1,0,0,0,0.0,6,20,1,1,0,36.36,2020,reg,90000,95333
4797,danny hoesen,SJ,F,8,3,249,1,0,11,3,0,0/0,0,1,0.36,9.1,0,0,0,0.0,4,0,1,1,0,27.27,2020,reg,525000.0,574667
4798,henry kessler,NE,D,22,19,1823,1,0,12,2,0,0/0,1,0,0.05,8.3,0,0,0,0.0,13,13,0,2,0,16.67,2020,reg,81375,101375
4800,erik sorga,DC,F,17,6,668,1,0,16,4,1,0/0,0,1,0.13,6.3,0,0,0,0.0,9,13,1,1,0,25.0,2020,reg,120000,143000
4801,frankie amaya,CIN,M,21,21,1737,1,0,21,6,1,0/0,0,1,0.05,4.8,0,0,0,0.0,39,36,0,7,0,28.57,2020,reg,125000,162000
4803,diego fagundez,NE,M,19,9,966,1,0,21,5,0,0/0,1,0,0.09,4.8,0,0,0,0.0,15,7,0,2,0,23.81,2020,reg,195000,215000
4804,anibal godoy,NSH,M-D,20,18,1494,1,0,23,8,1,0/0,1,0,0.06,4.3,0,0,0,0.0,32,51,0,4,0,34.78,2020,reg,650000,721667
4805,jurgen locadia,CIN,F,17,15,1364,1,0,51,14,0,0/0,0,1,0.07,2.0,0,0,0,0.0,19,29,12,0,0,27.45,2020,reg,2000000,2312500
4806,jack price,COL,M,16,14,1318,0,5,5,2,0,0/0,0,0,0.0,0.0,2,4,1,0.34,13,5,1,4,1,40.0,2020,reg,500000,555625
4807,andrew wooten,PHI,F,16,4,447,0,4,3,1,0,0/0,0,0,0.0,0.0,2,1,3,0.81,3,4,5,0,0,33.33,2020,reg,600000,685833
4808,romain metanire,MIN,D,20,20,1786,0,4,6,2,0,0/0,0,0,0.0,0.0,1,2,2,0.2,22,24,0,5,1,33.33,2020,reg,400000,499250
4810,jurgen damm,ATL,M,14,7,635,0,4,8,1,0,0/0,0,0,0.0,0.0,1,2,2,0.57,5,5,2,1,0,12.5,2020,reg,1193251,1485761
4811,cristian penilla,NE,F,17,10,962,0,4,19,6,0,0/0,0,0,0.0,0.0,1,1,3,0.37,14,20,0,0,0,31.58,2020,reg,600000,650000
4812,emanuel maciel,MTL,M,11,10,780,0,3,1,0,0,0/0,0,0,0.0,0.0,0,2,1,0.35,6,3,0,2,1,0.0,2020,reg,81375,93004
4813,zarek valentin,HOU,D,19,18,1621,0,3,2,0,0,0/0,0,0,0.0,0.0,2,2,1,0.17,6,2,0,0,0,0.0,2020,reg,175000,175000
4814,bryan reynolds,DAL,D,17,14,1267,0,3,4,1,0,0/0,0,0,0.0,0.0,2,2,1,0.21,21,15,0,2,0,25.0,2020,reg,105000,105000
4815,raheem edwards,MIN,M,12,2,259,0,3,5,0,0,0/0,0,0,0.0,0.0,1,1,2,1.04,8,6,0,0,0,0.0,2020,reg,81375,81375
4816,milton valenzuela,CLB,D,19,17,1448,0,3,9,1,0,0/0,0,0,0.0,0.0,2,2,1,0.19,19,10,1,4,0,11.11,2020,reg,320000,351300
4817,nicolas benezet,COL,F,12,5,491,0,3,9,3,0,0/0,0,0,0.0,0.0,0,2,1,0.55,9,15,3,1,0,33.33,2020,reg,600000,600000
4818,victor ulloa,MIA,M,23,17,1434,0,3,10,1,0,0/0,0,0,0.0,0.0,0,2,1,0.19,23,17,1,1,0,10.0,2020,reg,210000,210000
4819,alexander buttner,NE,D,17,15,1251,0,3,14,1,0,0/0,0,0,0.0,0.0,2,0,3,0.22,11,28,0,0,0,7.14,2020,reg,625000,690000
4820,edison flores,DC,M,13,11,872,0,3,15,4,0,0/0,0,0,0.0,0.0,0,1,2,0.31,11,8,4,1,0,26.67,2020,reg,1600000,1733000
4821,gaston gimenez,CHI,M,18,17,1557,0,3,21,7,0,0/0,0,0,0.0,0.0,3,3,0,0.17,26,14,1,2,0,33.33,2020,reg,1320000,1870667
4822,luis diaz,CLB,M,21,14,1178,0,3,31,13,0,0/0,0,0,0.0,0.0,2,2,1,0.23,22,41,6,5,0,41.94,2020,reg,324996,358896
4823,cristian gutierrez,VAN,D,12,7,665,0,2,0,0,0,0/0,0,0,0.0,0.0,1,2,0,0.27,4,8,1,1,0,,2020,reg,81375.0,98875
4824,matt polster,NE,D,15,8,756,0,2,2,0,0,0/0,0,0,0.0,0.0,0,1,1,0.24,17,8,0,4,1,0.0,2020,reg,275000,303438
4825,emiliano insua,LA,D,22,22,1891,0,2,2,0,0,0/0,0,0,0.0,0.0,2,2,0,0.1,13,11,0,2,0,0.0,2020,reg,350000,350000
4826,xavier arreaga,SEA,D,14,13,1147,0,2,3,1,0,0/0,0,0,0.0,0.0,0,1,1,0.16,14,15,0,4,0,33.33,2020,reg,393600,500850
4827,olivier mbaizo,PHI,D,14,12,1057,0,2,3,2,0,0/0,0,0,0.0,0.0,1,2,0,0.17,22,10,3,4,0,66.67,2020,reg,81375,81375
4828,jaylin lindsey,SKC,D,12,11,1059,0,2,6,0,0,0/0,0,0,0.0,0.0,0,0,2,0.17,7,9,2,1,0,0.0,2020,reg,81375,84375
4829,rolf feltscher,LA,D,17,13,1247,0,2,6,1,0,0/0,0,0,0.0,0.0,0,2,0,0.14,16,10,1,2,0,16.67,2020,reg,275000,299650
4830,luis martins,SKC,D,11,9,773,0,2,6,3,0,0/0,0,0,0.0,0.0,1,1,1,0.23,11,3,0,1,0,50.0,2020,reg,360000,360000
4831,carles gil,NE,F,6,4,366,0,2,7,2,0,0/1,0,0,0.0,0.0,1,1,1,0.49,3,14,1,0,0,28.57,2020,reg,2100000,2619667
4832,franco escobar,ATL,D,16,16,1376,0,2,7,0,0,0/0,0,0,0.0,0.0,0,0,2,0.13,24,24,0,8,1,0.0,2020,reg,350004,350004
4833,joao moutinho,ORL,D,8,8,685,0,2,7,1,0,0/0,0,0,0.0,0.0,0,2,0,0.26,9,5,0,4,0,14.29,2020,reg,150000,193000
4834,jared stroud,RBNY,M,20,11,925,0,2,8,0,0,0/0,0,0,0.0,0.0,0,1,1,0.19,12,21,1,1,0,0.0,2020,reg,63547,63547
4835,jason pendant,RBNY,D,20,17,1612,0,2,8,0,0,0/0,0,0,0.0,0.0,0,1,1,0.11,18,10,0,2,0,0.0,2020,reg,305000,365750
