,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Base Salary,Base Guaranteed Comp.
162,alex caskey,SEA,M,20,12,1093,1,4,19,5,0,0/0,1,0,0.08,5.3,2,1,3,0.33,21,17,0,0,0,26.32,2012,reg,33756,33756
163,rafael baca,SJ ,M,33,31,2551,1,4,24,7,0,0/0,0,1,0.04,4.2,3,2,2,0.14,22,33,4,4,0,29.17,2012,reg,44000,44000
164,sal zizzo,POR,D,20,12,1174,1,4,24,6,0,0/0,0,1,0.08,4.2,1,1,3,0.31,4,22,2,2,0,25.0,2012,reg,73125,81414.06
165,pavel pardo,CHI,M,28,27,2386,1,4,25,8,1,0/0,1,0,0.04,4.0,1,2,2,0.15,19,19,1,4,0,32.0,2012,reg,250000,250000
166,chad barrett,LA ,F,18,7,677,1,3,14,2,0,0/0,1,0,0.13,7.1,0,2,1,0.4,6,7,3,1,0,14.29,2012,reg,220000,253333.33
167,luis gil,RSL,M,29,19,1610,1,3,22,5,0,0/0,1,0,0.06,4.5,2,2,1,0.17,17,12,0,2,0,22.73,2012,reg,101531,196614.33
168,josh williams,CLB,D,30,27,2429,1,3,24,8,0,0/0,0,1,0.04,4.2,1,2,1,0.11,30,20,1,1,1,33.33,2012,reg,44100,44100
169,tim cahill,NY ,M,12,12,1080,1,3,24,8,0,0/0,1,0,0.08,4.2,1,2,1,0.25,27,21,2,2,0,33.33,2012,reg,3499999.92,3624999.92
170,eric avila,TOR,M,24,16,1366,1,3,27,6,0,0/0,0,1,0.07,3.7,0,0,3,0.2,14,17,0,1,0,22.22,2012,reg,125000,158000
171,daniel woolard,DC ,D,20,20,1754,1,2,5,2,0,0/0,0,1,0.05,20.0,1,2,0,0.1,12,16,1,0,0,40.0,2012,reg,56250,56250
172,jordan harvey,LAFC,D,26,18,1737,1,2,6,1,0,0/0,1,0,0.05,16.7,0,0,2,0.1,21,12,1,3,0,16.67,2012,reg,100000,100000
173,bobby convey,KC ,M,16,14,989,1,2,7,3,0,0/0,0,1,0.09,14.3,1,1,1,0.18,5,7,0,1,0,42.86,2012,reg,200000,215000
174,hector jimenez,CLB,M,15,13,920,1,2,8,3,0,0/0,1,0,0.1,12.5,1,1,1,0.2,9,6,3,0,1,37.5,2012,reg,44000,44000
175,sheanon williams,PHI,D-M,28,28,2486,1,2,14,6,0,0/0,0,1,0.04,7.1,1,1,1,0.07,26,32,2,5,1,42.86,2012,reg,85000,90500
176,hassoun camara,MTL,D,20,19,1663,1,2,15,4,1,0/0,1,0,0.05,6.7,0,1,1,0.11,21,14,0,2,1,26.67,2012,reg,75000,75000
177,mehdi ballouchy,NY ,M,22,14,1116,1,2,15,3,0,0/0,1,0,0.08,6.7,0,0,2,0.16,22,20,0,3,0,20.0,2012,reg,138188,138188
178,casey townsend,CHV,F,17,10,907,1,2,17,8,1,0/0,0,1,0.1,5.9,0,0,2,0.2,11,9,6,3,0,47.06,2012,reg,44000,79000
179,chris birchall,CLB,M,18,17,1515,1,2,18,6,1,0/0,1,0,0.06,5.6,0,1,1,0.12,16,16,1,4,0,33.33,2012,reg,102000,109000
180,kalif alhassan,POR,M,16,10,827,1,2,19,6,0,0/0,1,0,0.11,5.3,1,2,0,0.22,5,21,1,1,0,31.58,2012,reg,70000,79250
181,ryan guy,NE ,M,23,20,1832,1,2,34,12,0,0/0,0,1,0.05,2.9,0,1,1,0.1,21,18,7,3,0,35.29,2012,reg,44100,44100
182,osvaldo alonso,MIN,M,30,30,2688,1,2,41,13,1,0/0,0,1,0.03,2.4,1,2,0,0.07,37,52,0,8,0,31.71,2012,reg,185000,185000
183,benny feilhaber,NE ,M,29,23,2147,1,2,42,16,0,0/0,1,0,0.04,2.4,1,1,1,0.08,30,70,1,5,1,38.1,2012,reg,400000,446000
184,zarek valentin,HOU,D,15,14,1161,1,1,2,1,0,0/0,1,0,0.08,50.0,0,1,0,0.08,8,6,0,1,0,50.0,2012,reg,90000,142000
185,jonathan top,DAL,F,4,1,101,1,1,2,2,0,0/0,0,1,0.89,50.0,0,0,1,0.89,3,1,0,0,0,100.0,2012,reg,44100,44100
187,luiz camargo,HOU,M,26,16,1425,1,1,6,2,0,0/0,0,1,0.06,16.7,0,1,0,0.06,23,26,2,1,0,33.33,2012,reg,192000,202000
188,sebastian miranda,CLB,D,33,33,2882,1,1,6,2,1,0/0,1,0,0.03,16.7,0,1,0,0.03,18,9,1,3,0,33.33,2012,reg,135000,140000
189,steve zakuani,SEA,M,8,4,320,1,1,7,4,0,0/0,1,0,0.28,14.3,0,0,1,0.28,0,4,1,0,0,57.14,2012,reg,110000,208000
190,wilman conde,NY ,D,17,16,1433,1,1,7,1,0,0/0,0,1,0.06,14.3,0,1,0,0.06,27,6,0,3,0,14.29,2012,reg,125000,141666.67
191,marcelo saragosa,DC ,M,16,12,1120,1,1,8,4,0,0/0,1,0,0.08,12.5,0,0,1,0.08,32,16,0,4,0,50.0,2012,reg,70000,74333.33
193,sammy ochoa,SEA,F,9,3,324,1,1,9,3,0,0/0,0,1,0.28,11.1,0,1,0,0.28,5,7,0,0,0,33.33,2012,reg,55000,57500
194,omar gonzalez,TOR,D,14,13,1147,1,1,10,3,0,0/0,0,1,0.08,10.0,0,1,0,0.08,12,9,0,2,0,30.0,2012,reg,180000,257000
195,doneil henry,TOR,D,18,11,1139,1,1,10,3,0,0/0,0,1,0.08,10.0,1,1,0,0.08,18,8,1,3,0,30.0,2012,reg,44100,45100
196,zach scott,SEA,D,20,16,1437,1,1,11,2,1,0/0,1,0,0.06,9.1,0,0,1,0.06,27,7,1,5,1,18.18,2012,reg,46314,46314
197,quincy amarikwa,COL,F,14,6,601,1,1,12,4,0,0/0,1,0,0.15,8.3,0,0,1,0.15,13,12,1,0,0,33.33,2012,reg,44100,44100
198,jorge villafana,POR,F,14,9,906,1,1,12,2,0,0/0,1,0,0.1,8.3,1,1,0,0.1,15,16,2,1,0,16.67,2012,reg,66000,67666.67
